match_id,player,opponent,season,match_result,indoors,total_points_won,winners,forehand_winner,backhand_winner,errors_forced,unforced_errors,unforced_errors_forehand,unforced_errors_backhand,forced_errors_by_opponent,break_points_total,break_points_won,aces,double_faults,total_serves,first_serves_in,first_serve_in_percentage,first_serves_won,first_serves_won_percentage,total_second_serves,second_serves_in,second_serves_in_percentage,second_serves_won,second_serves_won_percentage,first_serve_returns,first_serve_returns_percentage,second_serve_returns,second_serve_returns_percentage,short_rallies_won,short_rallies_won_percentage,medium_rallies_won,medium_rallies_won_percentage,long_rallies_won,long_rallies_won_percentage,service_games_total,service_games_won,service_games_won_percentage,unforced_errors_net,unforced_errors_long,forced_errors_by_opponent_net,forced_errors_by_opponent_long,double_faults_error_net,double_faults_error_long,aggressive_error_margin_1,aggressive_error_margin_2,first_serve_performance
5e2b2d9d180000af7e6eb54b,Jaeda Daniel,Ncube,20,Win,True,66,5,1,2,11,35,26,9,8,6,5,0,7,58,38,0.66,26,0.68,20,13,0.65,9,0.45,29,0.76,15,0.75,49,0.56,9,0.47,8,0.57,5,5,1.0,13,22,4,4,4,3,-19,-26,17.03
5e2c605f180000d5b96eb57c,Jaeda Daniel,Niezgooda,20,Win,False,60,20,7,6,9,21,9,12,5,9,7,0,14,50,28,0.56,22,0.79,22,8,0.36,7,0.32,31,0.78,13,0.76,33,0.5,14,0.54,13,0.81,6,4,0.67,3,18,5,0,8,6,8,-6,12.32
5e2c640a18000083ba6eb582,Jaeda Daniel,Chang,20,Win,False,97,29,10,8,31,45,23,15,10,19,10,0,10,86,55,0.64,32,0.58,31,21,0.68,12,0.39,44,0.92,28,0.88,55,0.61,30,0.52,12,0.5,6,4,0.67,15,30,5,5,8,2,15,5,20.47
5e373e8e1e00008e16e057fa,Jaeda Daniel,Dimitrova,20,Win,False,66,18,13,5,0,36,22,14,0,16,7,0,7,54,29,0.54,19,0.66,25,18,0.72,11,0.44,32,0.78,13,0.87,43,0.57,17,0.61,6,0.55,5,3,0.6,12,24,0,0,2,5,-18,-25,10.2
5e3784641e0000d41de05817,Jaeda Daniel,Manu,20,,True,46,11,3,7,5,29,16,12,4,8,2,1,7,50,29,0.58,21,0.72,21,14,0.67,6,0.29,28,0.93,8,0.8,34,0.58,8,0.36,4,0.29,4,4,1.0,11,18,1,3,3,4,-13,-19,12.18
5e5af52a1b0000b9e83e6573,Jaeda Daniel,Carter,20,Win,False,58,17,4,3,8,38,25,7,6,7,5,0,5,60,42,0.7,20,0.48,18,13,0.72,11,0.61,34,0.89,10,0.91,25,0.48,17,0.53,16,0.57,5,5,1.0,10,28,3,3,0,5,-13,-18,14.0
5e5d9cb71e00009f809b3742,Jaeda Daniel,Glossman,20,Win,False,67,17,5,3,4,32,18,11,7,10,6,0,4,59,47,0.8,28,0.6,12,8,0.67,5,0.42,39,0.91,10,0.67,32,0.57,22,0.55,13,0.57,5,3,0.6,12,20,4,3,2,2,-11,-15,22.31
6011cd84420000dc0b5aeb84,Jaeda Daniel,Hand,21,Loss,True,24,2,2,0,1,35,20,13,4,4,0,1,2,37,25,0.68,9,0.36,12,10,0.83,5,0.42,23,0.85,8,0.8,14,0.34,5,0.19,5,0.62,7,2,0.29,10,25,4,0,1,1,-32,-33,6.08
60143214420000a2575aebaa,Jaeda Daniel,Mattel,21,Incomplete,True,78,18,8,6,3,44,23,18,14,18,7,1,11,79,45,0.57,24,0.53,34,23,0.68,16,0.47,36,0.8,19,0.83,39,0.48,25,0.61,14,0.44,12,7,0.58,13,31,8,6,7,4,-23,-33,13.67
6018319642000009da5aec29,Jaeda Daniel,Aleshina,21,Win,True,53,9,5,3,13,14,9,4,2,9,6,3,4,37,21,0.57,16,0.76,16,12,0.75,11,0.69,10,0.71,16,0.89,43,0.67,9,0.82,1,0.5,4,4,1.0,3,11,1,1,3,1,8,7,9.08
6032c365420000f62117d8d3,Jaeda Daniel,Brylin,21,Win,True,65,18,8,7,6,37,17,19,4,7,6,1,5,58,38,0.66,29,0.76,20,15,0.75,7,0.35,28,0.7,17,0.77,40,0.53,17,0.65,8,0.42,6,6,1.0,11,26,3,1,3,2,-13,-17,19.0
6033029e4200003bb717d8e6,Jaeda Daniel,Tenika McGiffin,21,Incomplete,True,58,19,9,9,5,41,19,22,2,10,4,3,3,56,32,0.57,22,0.69,24,21,0.88,9,0.38,27,0.82,13,0.72,35,0.52,13,0.65,10,0.43,5,4,0.8,8,33,2,0,3,0,-17,-17,12.57
604f8528430000356386b5bc,Jaeda Daniel,Sipek,21,Win,False,53,18,7,4,12,23,9,10,2,8,6,1,2,38,28,0.74,22,0.79,10,8,0.8,4,0.4,21,0.78,12,0.8,34,0.64,12,0.75,7,0.58,4,4,1.0,5,18,2,0,0,2,7,6,16.21
604f876c430000376386b5c2,Jaeda Daniel,Garcia,21,Win,False,57,20,14,5,22,27,18,8,11,6,4,1,2,50,29,0.58,20,0.69,21,19,0.9,15,0.71,22,0.67,11,0.79,30,0.5,19,0.68,8,0.8,5,5,1.0,11,16,4,7,1,1,15,14,11.6
6058b3524500001fa37c613c,Jaeda Daniel,Irani,21,Loss,True,64,24,12,6,6,52,28,21,12,13,4,2,4,62,38,0.61,20,0.53,24,20,0.83,12,0.5,41,0.84,19,0.9,26,0.41,14,0.44,24,0.59,10,5,0.5,17,35,6,6,0,4,-22,-24,12.26
6058b71045000007a37c6146,Jaeda Daniel,Ramirez,21,Win,False,88,23,11,3,0,56,25,27,5,12,7,3,11,86,41,0.48,21,0.51,45,34,0.76,26,0.58,49,0.84,17,0.71,62,0.52,16,0.41,10,0.62,12,8,0.67,23,33,3,2,8,3,-33,-41,10.01
6070d3914500003093fd24c4,Jaeda Daniel,Andreini,21,Win,False,53,20,12,1,4,29,14,14,0,6,6,3,2,44,22,0.5,15,0.68,22,20,0.91,12,0.55,25,0.83,8,0.89,27,0.56,16,0.62,10,0.91,8,6,0.75,9,20,0,0,1,1,-5,-4,7.5
607392b64600001fe3201799,Jaeda Daniel,Shaikh,21,Win,False,53,8,6,0,9,32,17,13,10,13,6,6,1,46,29,0.63,21,0.72,17,16,0.94,6,0.35,27,0.82,13,0.81,34,0.59,11,0.5,8,0.44,8,5,0.62,7,25,6,4,0,1,-15,-10,13.24
610c36a03f0000d14fafd468,Jaeda Daniel,Davidescu,21,Win,True,48,13,9,3,2,11,9,1,1,6,6,1,2,31,16,0.52,12,0.75,15,13,0.87,12,0.8,18,0.95,12,0.92,35,0.76,10,0.77,3,0.43,3,3,1.0,5,6,0,1,0,2,4,3,6.19
611d1a5f410000aa020b8126,Jaeda Daniel,Hsieh,21,Win,False,71,18,10,4,14,28,20,8,15,7,6,2,9,71,40,0.56,22,0.55,31,22,0.71,16,0.52,33,0.89,19,0.86,40,0.48,24,0.62,7,0.7,6,5,0.83,7,21,6,9,5,4,4,-3,12.39
6140be1c4200008fd43825ad,Jaeda Daniel,Schech,22,Win,False,54,7,2,4,17,20,12,7,10,8,6,3,3,44,16,0.36,10,0.62,28,25,0.89,17,0.61,22,0.76,14,0.93,33,0.54,15,0.75,6,0.6,8,6,0.75,6,14,7,3,0,3,4,4,3.64
6140bffe4200008dd43825b3,Jaeda Daniel,Cassie Wooten,22,Win,False,64,13,8,3,16,27,14,11,8,8,5,1,6,57,31,0.54,22,0.71,26,20,0.77,14,0.54,17,0.81,23,0.74,40,0.54,16,0.62,8,0.73,5,5,1.0,7,20,5,3,1,5,2,-3,11.96
62150c434500004900cc8882,Jaeda Daniel,Ovunc,22,Win,True,72,15,11,0,4,28,19,9,3,15,5,2,6,57,27,0.47,19,0.7,30,24,0.8,19,0.63,28,0.8,20,0.83,52,0.6,16,0.67,4,0.4,6,6,1.0,7,21,2,1,2,4,-9,-13,9.0
6217adca42000032002ff9b1,Jaeda Daniel,Ma,22,Loss,True,33,14,5,2,1,40,23,13,1,3,0,1,9,46,20,0.43,13,0.65,26,17,0.65,8,0.31,17,0.85,15,0.79,16,0.32,10,0.5,7,0.44,4,2,0.5,14,26,0,1,5,4,-25,-33,5.65
6218fb284200004a002ff9ee,Jaeda Daniel,Cameron Morra,22,Incomplete,True,77,32,15,2,17,47,28,14,23,14,7,3,15,78,30,0.38,16,0.53,48,33,0.69,19,0.4,41,0.75,21,0.72,40,0.37,24,0.67,13,0.54,5,4,0.8,16,31,13,10,5,10,2,-10,6.15
